/net07 X,/net07 Y,/net7 X,/net7 Y,/net5 X,/net5 Y,/net4 X,/net4 Y
0,0.911823857083952,0,0.01178254691635513,0,0.8699428276933709,0,-0.02945939616451182
5e-12,0.9118238570839519,5e-12,0.01178254691635512,5e-12,0.8699428276933709,5e-12,-0.02945939616451182
9.999999999999999e-12,0.9118238570839519,9.999999999999999e-12,0.01178254691635513,9.999999999999999e-12,0.8699428276933709,9.999999999999999e-12,-0.02945939616451182
1.5e-11,0.9118238570839519,1.5e-11,0.01178254691635512,1.5e-11,0.8699428276933709,1.5e-11,-0.02945939616451182
2e-11,0.9118238570839519,2e-11,0.01178254691635512,2e-11,0.8699428276933709,2e-11,-0.02945939616451182
2.49999999e-11,0.9118238570839517,2.49999999e-11,0.01178254691635512,2.49999999e-11,0.8699428276933709,2.49999999e-11,-0.02945939616451182
3e-11,0.9118238570839519,3e-11,0.01178254691635514,3e-11,0.8699428276933709,3e-11,-0.02945939616451182
3.5e-11,0.9118238570839519,3.5e-11,0.01178254691635511,3.5e-11,0.8699428276933709,3.5e-11,-0.02945939616451182
4e-11,0.9118238570839519,4e-11,0.01178254691635512,4e-11,0.8699428276933709,4e-11,-0.02945939616451182
4.5e-11,0.9118238570839519,4.5e-11,0.01178254691635513,4.5e-11,0.8699428276933709,4.5e-11,-0.02945939616451182
5e-11,0.9118238570839519,5e-11,0.01178254691635512,5e-11,0.8699428276933709,5e-11,-0.02945939616451182
5.5e-11,0.9118238570839519,5.5e-11,0.01178254691635512,5.5e-11,0.8699428276933709,5.5e-11,-0.02945939616451182
6e-11,0.9118238570839519,6e-11,0.01178254691635512,6e-11,0.8699428276933709,6e-11,-0.02945939616451182
6.5e-11,0.9118238570839517,6.5e-11,0.01178254691635512,6.5e-11,0.8699428276933709,6.5e-11,-0.02945939616451182
7e-11,0.9118238570839519,7e-11,0.01178254691635514,7e-11,0.8699428276933709,7e-11,-0.02945939616451182
7.5e-11,0.9118238570839517,7.5e-11,0.01178254691635511,7.5e-11,0.8699428276933709,7.5e-11,-0.02945939616451182
8e-11,0.9118238570839519,8e-11,0.01178254691635513,8e-11,0.8699428276933709,8e-11,-0.02945939616451182
8.499999989999999e-11,0.9118238570839517,8.499999989999999e-11,0.01178254691635512,8.499999989999999e-11,0.8699428276933709,8.499999989999999e-11,-0.02945939616451182
8.99999999e-11,0.9118238570839519,8.99999999e-11,0.01178254691635514,8.99999999e-11,0.8699428276933709,8.99999999e-11,-0.02945939616451182
9.49999999e-11,0.9118238570839517,9.49999999e-11,0.01178254691635511,9.49999999e-11,0.8699428276933709,9.49999999e-11,-0.02945939616451182
9.999999989999999e-11,0.9118238570839519,9.999999989999999e-11,0.01178254691635513,9.999999989999999e-11,0.8699428276933709,9.999999989999999e-11,-0.02945939616451182
1.049999999e-10,0.9118238570839517,1.049999999e-10,0.01178254691635511,1.049999999e-10,0.8699428276933709,1.049999999e-10,-0.02945939616451182
1.099999999e-10,0.9118238570839519,1.099999999e-10,0.01178254691635514,1.099999999e-10,0.8699428276933709,1.099999999e-10,-0.02945939616451182
1.149999999e-10,0.9118238570839517,1.149999999e-10,0.01178254691635511,1.149999999e-10,0.8699428276933709,1.149999999e-10,-0.02945939616451182
1.199999999e-10,0.9118238570839519,1.199999999e-10,0.01178254691635513,1.199999999e-10,0.8699428276933709,1.199999999e-10,-0.02945939616451182
1.249999999e-10,0.9118238570839517,1.249999999e-10,0.01178254691635512,1.249999999e-10,0.8699428276933709,1.249999999e-10,-0.02945939616451182
1.3e-10,0.9118238570839519,1.3e-10,0.01178254691635513,1.3e-10,0.8699428276933709,1.3e-10,-0.02945939616451182
1.35e-10,0.9118238570839517,1.35e-10,0.01178254691635511,1.35e-10,0.8699428276933709,1.35e-10,-0.02945939616451182
1.4e-10,0.9118238570839519,1.4e-10,0.01178254691635512,1.4e-10,0.8699428276933709,1.4e-10,-0.02945939616451182
1.45e-10,0.9118238570839517,1.45e-10,0.01178254691635511,1.45e-10,0.8699428276933709,1.45e-10,-0.02945939616451182
1.5e-10,0.9118238570839519,1.5e-10,0.01178254691635513,1.5e-10,0.8699428276933709,1.5e-10,-0.02945939616451182
1.55e-10,0.9118238570839517,1.55e-10,0.01178254691635511,1.55e-10,0.8699428276933709,1.55e-10,-0.02945939616451182
1.6e-10,0.9118238570839519,1.6e-10,0.01178254691635513,1.6e-10,0.8699428276933709,1.6e-10,-0.02945939616451182
1.65e-10,0.9118238570839517,1.65e-10,0.01178254691635511,1.65e-10,0.8699428276933709,1.65e-10,-0.02945939616451182
1.7e-10,0.9118238570839519,1.7e-10,0.01178254691635514,1.7e-10,0.8699428276933709,1.7e-10,-0.02945939616451182
1.75e-10,0.9118238570839517,1.75e-10,0.01178254691635511,1.75e-10,0.8699428276933709,1.75e-10,-0.02945939616451182
1.8e-10,0.9118238570839519,1.8e-10,0.01178254691635512,1.8e-10,0.8699428276933709,1.8e-10,-0.02945939616451182
1.85e-10,0.9118238570839517,1.85e-10,0.01178254691635511,1.85e-10,0.8699428276933709,1.85e-10,-0.02945939616451182
1.9e-10,0.9118238570839519,1.9e-10,0.01178254691635514,1.9e-10,0.8699428276933709,1.9e-10,-0.02945939616451182
1.95e-10,0.9118238570839517,1.95e-10,0.01178254691635511,1.95e-10,0.8699428276933709,1.95e-10,-0.02945939616451182
2e-10,0.9118238570839519,2e-10,0.01178254691635513,2e-10,0.8699428276933709,2e-10,-0.02945939616451182
2.05e-10,0.9118238570839517,2.05e-10,0.01178254691635512,2.05e-10,0.8699428276933709,2.05e-10,-0.02945939616451182
2.1e-10,0.9118238570839519,2.1e-10,0.01178254691635513,2.1e-10,0.8699428276933709,2.1e-10,-0.02945939616451182
2.15e-10,0.9118238570839517,2.15e-10,0.0117825469163551,2.15e-10,0.8699428276933709,2.15e-10,-0.02945939616451182
2.2e-10,0.9118238570839519,2.2e-10,0.01178254691635513,2.2e-10,0.8699428276933709,2.2e-10,-0.02945939616451182
2.25e-10,0.9118238570839517,2.25e-10,0.01178254691635511,2.25e-10,0.8699428276933709,2.25e-10,-0.02945939616451182
2.3e-10,0.9118238570839519,2.3e-10,0.01178254691635513,2.3e-10,0.8699428276933709,2.3e-10,-0.02945939616451182
2.35e-10,0.9118238570839517,2.35e-10,0.01178254691635511,2.35e-10,0.8699428276933709,2.35e-10,-0.02945939616451182
2.4e-10,0.9118238570839519,2.4e-10,0.01178254691635514,2.4e-10,0.8699428276933709,2.4e-10,-0.02945939616451182
2.45e-10,0.9118238570839517,2.45e-10,0.01178254691635512,2.45e-10,0.8699428276933709,2.45e-10,-0.02945939616451182
2.5e-10,0.9118238570839519,2.5e-10,0.01178254691635514,2.5e-10,0.8699428276933709,2.5e-10,-0.02945939616451182
